CHANNEL,DATE TIME,HOUR,EVENT
Rai 4,10-06-2023,00:47,Anica appuntamento al cinema
Rai 4,10-06-2023,00:50,Wonderland pt.36
Rai 4,10-06-2023,01:21,Fight Club
Rai 4,10-06-2023,03:32,Quantico S3E5
Rai 4,10-06-2023,05:04,Stranger Europe - Copenhagen
Rai 4,10-06-2023,05:32,Ransom S1E8 Di' quello che hai fatto
Rai 4,10-06-2023,06:11,Ransom S1E9 Ragazza su un treno
Rai 4,10-06-2023,06:50,Seal Team ep.21 La tomba degli imperi
Rai 4,10-06-2023,07:29,Seal Team ep.22 Il prezzo da pagare
Rai 4,10-06-2023,08:09,Seal Team S2E1 - Contrasti
Rai 4,10-06-2023,08:47,Seal Team S2E2 - Mai dire mai 
Rai 4,10-06-2023,09:27,Seal Team S2E3 Le condizioni peggiori 
Rai 4,10-06-2023,10:07,Medium S6E6 - Mordimi
Rai 4,10-06-2023,10:48,Medium S6E7 - L'artificiere
Rai 4,10-06-2023,11:27,Medium S6E8 - Ti chiamerò Angelo
Rai 4,10-06-2023,12:08,Medium S6E9 - Il futuro abbagliante
Rai 4,10-06-2023,12:48,Medium S6E10 - Mi fai venire la febbre
Rai 4,10-06-2023,14:05,Beckett
Rai 4,10-06-2023,15:43,Stargirl ep.12
Rai 4,10-06-2023,16:23,Stargirl ep.13
Rai 4,10-06-2023,17:01,Gli Imperdibili
Rai 4,10-06-2023,17:04,Il Commissario Rex S3E2 - Paura in città
Rai 4,10-06-2023,17:49,Il Commissario Rex S3E3 - Mistero al museo
Rai 4,10-06-2023,18:36,Il Commissario Rex S3E4 - Il professore
Rai 4,10-06-2023,19:20,Il Commissario Rex S3E6 - Il venditore di bambole
Rai 4,10-06-2023,20:05,Il Commissario Rex S3E7 - A me gli occhi
Rai 4,10-06-2023,21:20,Curve - Insidia Mortale
Rai 4,10-06-2023,22:38,Kidnap
