CHANNEL,DATE TIME,HOUR,EVENT
Rai 4,08-06-2023,00:27,Vivarium
Rai 4,08-06-2023,02:08,Quantico S3E1
Rai 4,08-06-2023,02:49,Quantico S3E2
Rai 4,08-06-2023,03:29,Ransom S2E8 Il cerbiatto 
Rai 4,08-06-2023,04:09,Ransom S2E9 Linea dura 
Rai 4,08-06-2023,05:10,The dark side pt.8
Rai 4,08-06-2023,05:31,Scandal S7E9
Rai 4,08-06-2023,06:11,Rookie Blue S5E8 - Strategia d'uscita
Rai 4,08-06-2023,06:52,Rookie Blue S5E9 - Giorno di trasloco
Rai 4,08-06-2023,07:35,Rookie Blue S5E10 - Frammenti
Rai 4,08-06-2023,08:20,Il Commissario Rex S3E4 - Il professore
Rai 4,08-06-2023,09:08,Il Commissario Rex S3E6 - Il venditore di bambole
Rai 4,08-06-2023,09:57,Blood & Treasure S1E9 - The Shadow of Project Athena
Rai 4,08-06-2023,10:35,Quantico S3E1
Rai 4,08-06-2023,11:19,Quantico S3E2
Rai 4,08-06-2023,12:02,Seal Team S2E3 Le condizioni peggiori 
Rai 4,08-06-2023,12:49,Seal Team S2E4 Solo ciò che conta
Rai 4,08-06-2023,13:32,Criminal Minds V ep.22
Rai 4,08-06-2023,14:16,Fast Forward V ep.5
Rai 4,08-06-2023,15:03,Fast Forward V ep.6
Rai 4,08-06-2023,15:55,Quantico S3E3
Rai 4,08-06-2023,16:43,Quantico S3E4
Rai 4,08-06-2023,17:26,Il Commissario Rex S3E9 - Giulietta o Romeo?
Rai 4,08-06-2023,18:15,Il commissario Rex S3E12 - Un delitto quasi perfetto
Rai 4,08-06-2023,19:04,Seal Team S2E5 Ripeti l'ultima frase
Rai 4,08-06-2023,19:48,Seal Team S2E6 Caccia al cartello
Rai 4,08-06-2023,20:32,Criminal Minds V ep.23
Rai 4,08-06-2023,21:20,Hawaii Five-0 III ep.17
Rai 4,08-06-2023,22:04,Hawaii Five-0 III ep.18
Rai 4,08-06-2023,22:51,Hawaii Five-0 III ep.19
Rai 4,08-06-2023,23:32,Beckett
