CHANNEL,DATE TIME,HOUR,EVENT
Rai 4,04-06-2023,00:47,Anica appuntamento al cinema
Rai 4,04-06-2023,00:50,Perry Mason S1E1 - Capitolo 1
Rai 4,04-06-2023,01:50,Perry Mason S1E2 - Capitolo 2
Rai 4,04-06-2023,02:50,The Sandman
Rai 4,04-06-2023,04:11,Ransom S2E5 Sotto copertura
Rai 4,04-06-2023,05:21,Ransom S1E6 Celina
Rai 4,04-06-2023,05:59,Ransom S1E7 Rigenerazione
Rai 4,04-06-2023,06:39,Seal Team S1E16 Mai scendere dalla barca
Rai 4,04-06-2023,07:22,Seal Team S1E17 Schiavitù
Rai 4,04-06-2023,08:01,Seal Team S1E18 Minaccia credibile
Rai 4,04-06-2023,08:41,Seal Team S1E19 La cattura
Rai 4,04-06-2023,09:23,Seal Team S1E20 Nemico del mio nemico
Rai 4,04-06-2023,10:07,Wonderland pt.35 - Speciale Far East Film Festival 2023 - 30/05/2023
Rai 4,04-06-2023,10:40,Criminal Minds V ep.15
Rai 4,04-06-2023,11:24,Criminal Minds V ep.16
Rai 4,04-06-2023,12:09,Criminal Minds V ep.17
Rai 4,04-06-2023,12:54,Criminal Minds V ep.18
Rai 4,04-06-2023,13:39,Criminal Minds V ep.19
Rai 4,04-06-2023,14:20,Il giorno sbagliato
Rai 4,04-06-2023,15:49,Blood & Treasure S1E12 - Eredità del Padre
Rai 4,04-06-2023,16:34,Blood & Treasure S1E13 - La vendetta di Farouk
Rai 4,04-06-2023,17:16,Il Commissario Rex S2E12 - Dose mortale
Rai 4,04-06-2023,18:08,Il Commissario Rex S2E13 - La tangente
Rai 4,04-06-2023,18:56,Il Commissario Rex S2E14 - Sui tetti di Vienna
Rai 4,04-06-2023,19:40,Il Commissario Rex S2E15 - L'ultimo caso di Stockinger
Rai 4,04-06-2023,20:30,Il Commissario Rex S3E1 - Una folle corsa
Rai 4,04-06-2023,21:20,Broken City
Rai 4,04-06-2023,23:08,The Betrayed
