CHANNEL,DATE TIME,HOUR,EVENT
Rai 4,05-06-2023,00:48,Anica appuntamento al cinema
Rai 4,05-06-2023,00:51,Demonic
Rai 4,05-06-2023,02:34,Iron Sky - La battaglia continua
Rai 4,05-06-2023,03:54,Ransom S2E6 Eredità
Rai 4,05-06-2023,04:33,The dark side pt.4
Rai 4,05-06-2023,05:20,The dark side pt.5
Rai 4,05-06-2023,05:41,Scandal S7E6 - Vampiri e sanguisughe
Rai 4,05-06-2023,06:21,Rookie Blue S4E12 - Sotto tiro
Rai 4,05-06-2023,07:02,Rookie Blue S4E13 - Solo quando è buio
Rai 4,05-06-2023,07:45,Rookie Blue S5E1 - In un istante
Rai 4,05-06-2023,08:29,Il Commissario Rex S2E13 - La tangente
Rai 4,05-06-2023,09:17,Il Commissario Rex S2E14 - Sui tetti di Vienna
Rai 4,05-06-2023,10:05,Blood & Treasure S1E6 - The Ghost Train of Sierra Perdida
Rai 4,05-06-2023,10:43,Quantico S2E17
Rai 4,05-06-2023,11:26,Quantico S2E18
Rai 4,05-06-2023,12:09,Seal Team S1E19 La cattura
Rai 4,05-06-2023,12:56,Seal Team S1E20 Nemico del mio nemico
Rai 4,05-06-2023,13:38,Criminal Minds V ep.19
Rai 4,05-06-2023,14:21,Fast Forward IV ep.11 Il caso Jana Solm
Rai 4,05-06-2023,15:09,Fast Forward IV ep.12 Il caso Lucy Haller
Rai 4,05-06-2023,16:03,Quantico S2E19
Rai 4,05-06-2023,16:51,Quantico S2E20
Rai 4,05-06-2023,17:35,Il Commissario Rex S3E2 - Paura in città
Rai 4,05-06-2023,18:23,Il Commissario Rex S3E3 - Mistero al museo
Rai 4,05-06-2023,19:11,Seal Team ep.21 La tomba degli imperi
Rai 4,05-06-2023,19:52,Seal Team ep.22 Il prezzo da pagare
Rai 4,05-06-2023,20:35,Criminal Minds V ep.20
Rai 4,05-06-2023,21:20,Blood & Treasure S2E1
Rai 4,05-06-2023,22:01,Blood & Treasure S2E2
Rai 4,05-06-2023,22:46,Il giorno sbagliato
