CHANNEL,DATE TIME,HOUR,EVENT
Rai 4,07-06-2023,02:02,Anica appuntamento al cinema
Rai 4,07-06-2023,02:06,Arctic
Rai 4,07-06-2023,03:35,Quantico S2E21
Rai 4,07-06-2023,04:14,Quantico S2E22
Rai 4,07-06-2023,05:04,The dark side pt.7
Rai 4,07-06-2023,05:25,Scandal S7E8 -  Robin
Rai 4,07-06-2023,06:05,Rookie Blue S5E5 - Sotto copertura
Rai 4,07-06-2023,06:46,Rookie Blue S5E6 - Due verità e una bugia
Rai 4,07-06-2023,07:30,Rookie Blue S5E7 - Patto con il diavolo
Rai 4,07-06-2023,08:15,Anica appuntamento al cinema
Rai 4,07-06-2023,08:18,Il Commissario Rex S3E2 - Paura in città
Rai 4,07-06-2023,09:06,Il Commissario Rex S3E3 - Mistero al museo
Rai 4,07-06-2023,09:56,Blood & Treasure S1E8 - The Lunchbox of Destiny
Rai 4,07-06-2023,10:39,Quantico S2E21
Rai 4,07-06-2023,11:23,Quantico S2E22
Rai 4,07-06-2023,12:02,Seal Team S2E1 - Contrasti
Rai 4,07-06-2023,12:48,Seal Team S2E2 - Mai dire mai 
Rai 4,07-06-2023,13:32,Criminal Minds V ep.21
Rai 4,07-06-2023,14:18,Fast Forward V ep.3 Il caso Traian Voronin 
Rai 4,07-06-2023,15:06,Fast Forward V ep.4
Rai 4,07-06-2023,15:58,Quantico S3E1
Rai 4,07-06-2023,16:46,Quantico S3E2
Rai 4,07-06-2023,17:30,Il Commissario Rex S3E7 - A me gli occhi
Rai 4,07-06-2023,18:18,Il Commissario Rex S3E8 - Trasporto di morte
Rai 4,07-06-2023,19:06,Seal Team S2E3 Le condizioni peggiori 
Rai 4,07-06-2023,19:49,Seal Team S2E4 Solo ciò che conta
Rai 4,07-06-2023,20:33,Criminal Minds V ep.22
Rai 4,07-06-2023,21:20,Kidnap
Rai 4,07-06-2023,22:56,The Midnight Man
