CHANNEL,DATE TIME,HOUR,EVENT
Rai 4,09-06-2023,01:20,Anica appuntamento al cinema
Rai 4,09-06-2023,01:23,The Betrayed
Rai 4,09-06-2023,03:01,Quantico S3E3
Rai 4,09-06-2023,03:42,Quantico S3E4
Rai 4,09-06-2023,04:22,Stranger Europe - Belgrado
Rai 4,09-06-2023,05:09,The dark side pt.9
Rai 4,09-06-2023,05:28,Scandal S7E10
Rai 4,09-06-2023,06:08,Rookie Blue S5E11 - Per sempre
Rai 4,09-06-2023,06:49,Rookie Blue S6E1 - Finestre aperte 
Rai 4,09-06-2023,07:30,Rookie Blue S6E2 - La famiglia perfetta
Rai 4,09-06-2023,08:10,Il Commissario Rex S3E7 - A me gli occhi
Rai 4,09-06-2023,08:54,Il Commissario Rex S3E8 - Trasporto di morte
Rai 4,09-06-2023,09:38,Gli Imperdibili
Rai 4,09-06-2023,09:42,Blood & Treasure S1E10 - The Wages of Vengeance
Rai 4,09-06-2023,10:18,Quantico S3E3
Rai 4,09-06-2023,10:58,Quantico S3E4
Rai 4,09-06-2023,11:38,Seal Team S2E5 Ripeti l'ultima frase
Rai 4,09-06-2023,12:18,Seal Team S2E6 Caccia al cartello
Rai 4,09-06-2023,12:58,Criminal Minds V ep.23
Rai 4,09-06-2023,14:20,Fast Forward V ep.7
Rai 4,09-06-2023,15:04,Fast Forward V ep.8
Rai 4,09-06-2023,15:53,Quantico S3E5
Rai 4,09-06-2023,16:33,Quantico S3E6
Rai 4,09-06-2023,17:13,Il commissario Rex S3E10 - Regalo di Natale
Rai 4,09-06-2023,17:57,Il Commissario Rex S3E11 - Regalo di Natale
Rai 4,09-06-2023,18:48,Seal Team S2E7 Fuori dalla base
Rai 4,09-06-2023,19:28,Seal Team S2E8 Parallasse
Rai 4,09-06-2023,20:04,Criminal Minds VI ep.1
Rai 4,09-06-2023,21:20,Kingsman - Secret Service
Rai 4,09-06-2023,23:17,Prospect
