CHANNEL,DATE TIME,HOUR,EVENT
Rai 4,06-06-2023,00:17,Anica appuntamento al cinema
Rai 4,06-06-2023,00:20,Fuga nella giungla
Rai 4,06-06-2023,02:09,Quantico S2E18
Rai 4,06-06-2023,02:50,Quantico S2E19
Rai 4,06-06-2023,03:30,Quantico S2E20
Rai 4,06-06-2023,04:10,Ransom S2E7 Anatomia di una causa persa 
Rai 4,06-06-2023,05:10,The dark side pt.6
Rai 4,06-06-2023,05:33,"Scandal S7E7 -  Io vinco, tu perdi"
Rai 4,06-06-2023,06:13,Rookie Blue S5E2 - Tutto da sola
Rai 4,06-06-2023,06:54,Rookie Blue S5E3 - Cuori spezzati e macchine da soldi
Rai 4,06-06-2023,07:37,Rookie Blue S5E4 - Carenze
Rai 4,06-06-2023,08:21,Il Commissario Rex S2E15 - L'ultimo caso di Stockinger
Rai 4,06-06-2023,09:10,Il Commissario Rex S3E1 - Una folle corsa
Rai 4,06-06-2023,09:59,Blood & Treasure S1E7 - Escape from Casablanca
Rai 4,06-06-2023,10:43,Quantico S2E19
Rai 4,06-06-2023,11:28,Quantico S2E20
Rai 4,06-06-2023,12:12,Seal Team ep.21 La tomba degli imperi
Rai 4,06-06-2023,12:54,Seal Team ep.22 Il prezzo da pagare
Rai 4,06-06-2023,13:43,Criminal Minds V ep.20
Rai 4,06-06-2023,14:22,Fast Forward V ep.1 Il caso Alice Leutgeb 
Rai 4,06-06-2023,15:13,Fast Forward V ep.2 Il caso Simon Gehbauer 
Rai 4,06-06-2023,16:01,Quantico S2E21
Rai 4,06-06-2023,16:44,Quantico S2E22
Rai 4,06-06-2023,17:30,Il Commissario Rex S3E4 - Il professore
Rai 4,06-06-2023,18:17,Il Commissario Rex S3E6 - Il venditore di bambole
Rai 4,06-06-2023,19:06,Seal Team S2E1 - Contrasti
Rai 4,06-06-2023,19:47,Seal Team S2E2 - Mai dire mai 
Rai 4,06-06-2023,20:31,Criminal Minds V ep.21
Rai 4,06-06-2023,21:19,Prospect
Rai 4,06-06-2023,22:58,Wonderland pt.36
Rai 4,06-06-2023,23:38,Fight Club
