CHANNEL,DATE TIME,HOUR,EVENT
Rai 3,05-06-2023,01:30,Mezz'ora in più - Il Mondo che verrà - Puntata del 04/06/2023
Rai 3,05-06-2023,01:55,Fuori Orario. Cose (mai) viste
Rai 3,05-06-2023,02:05,All'ombra delle donne
Rai 3,05-06-2023,03:15,La Jalousie
Rai 3,05-06-2023,04:25,Fuori Orario. Cose (mai) viste
Rai 3,05-06-2023,06:00,RaiNews24
Rai 3,05-06-2023,07:00,TGR Buongiorno Italia
Rai 3,05-06-2023,07:30,TGR Buongiorno Regione
Rai 3,05-06-2023,08:00,Agorà - Puntata del 05/06/2023
Rai 3,05-06-2023,10:00,Elisir - A gentile richiesta - Puntata del 05/06/2023
Rai 3,05-06-2023,11:00,Spaziolibero
Rai 3,05-06-2023,11:10,Doc Martin S1E1
Rai 3,05-06-2023,11:55,Meteo 3
Rai 3,05-06-2023,12:00,TG3
Rai 3,05-06-2023,12:25,TG3 Fuori TG
Rai 3,05-06-2023,12:45,Quante storie - Puntata del 05/06/2023
Rai 3,05-06-2023,13:15,Passato e Presente - Cosma Manera e la Legione Redenta
Rai 3,05-06-2023,14:00,TG Regione
Rai 3,05-06-2023,14:19,TG Regione Meteo
Rai 3,05-06-2023,14:20,TG3
Rai 3,05-06-2023,14:49,Meteo 3
Rai 3,05-06-2023,14:50,TGR Leonardo
Rai 3,05-06-2023,15:00,TGR Piazza Affari
Rai 3,05-06-2023,15:10,TG3 LIS
Rai 3,05-06-2023,15:15,Rai Parlamento Telegiornale
Rai 3,05-06-2023,15:20,Alla scoperta del ramo d'oro - Veronica Barassi - Puntata del 05/06/2023
Rai 3,05-06-2023,16:00,Di là dal fiume e tra gli alberi - S5E15 versione ridotta
Rai 3,05-06-2023,17:00,Geo Magazine - Puntata del 05/06/2023
Rai 3,05-06-2023,18:00,TGR Speciale Legambiente
Rai 3,05-06-2023,19:00,TG3
Rai 3,05-06-2023,19:30,TG Regione
Rai 3,05-06-2023,19:51,TG Regione Meteo
Rai 3,05-06-2023,20:00,Blob - Puntata del 05/06/2023
Rai 3,05-06-2023,20:15,Via Dei Matti n°0 - Fiorella Mannoia 
Rai 3,05-06-2023,20:40,Il cavallo e la torre - Puntata del 05/06/2023
Rai 3,05-06-2023,20:50,Un posto al sole - Puntata del 05/06/2023 EP6210
Rai 3,05-06-2023,21:20,Report - Puntata del 05/06/2023
Rai 3,05-06-2023,23:15,Antonio Cassano - L'Avversario - L'altra faccia del campione - Puntata del 05/06/2023
