CHANNEL,DATE TIME,HOUR,EVENT
Rai Movie,10-06-2023,01:55,Anica - Appuntamento al cinema
Rai Movie,10-06-2023,02:00,Arianna
Rai Movie,10-06-2023,03:20,Terminator
Rai Movie,10-06-2023,05:00,Urlatori alla sbarra
Rai Movie,10-06-2023,06:20,La nonna Sabella
Rai Movie,10-06-2023,07:55,Austin Powers - Il controspione
Rai Movie,10-06-2023,09:30,Movie Mag
Rai Movie,10-06-2023,09:55,Anica - Appuntamento al cinema
Rai Movie,10-06-2023,10:00,Arrivano i gatti
Rai Movie,10-06-2023,11:40,Fai come ti pare
Rai Movie,10-06-2023,13:40,Gli Imperdibili
Rai Movie,10-06-2023,13:45,Cena con delitto - Knives Out
Rai Movie,10-06-2023,16:00,"Amore, matrimoni e altri disastri"
Rai Movie,10-06-2023,17:35,"Juliet, Naked - Tutta un'altra musica"
Rai Movie,10-06-2023,19:15,Margin Call
Rai Movie,10-06-2023,21:10,Non odiare
Rai Movie,10-06-2023,22:50,Niente può fermarci
