CHANNEL,DATE TIME,HOUR,EVENT
Rai Movie,07-06-2023,01:40,Anica - Appuntamento al cinema
Rai Movie,07-06-2023,01:45,Terrore dallo spazio profondo
Rai Movie,07-06-2023,03:35,Una carriera a tutti i costi
Rai Movie,07-06-2023,05:00,Snowden
Rai Movie,07-06-2023,07:10,Bernie il delfino
Rai Movie,07-06-2023,08:40,Anica - Appuntamento al cinema
Rai Movie,07-06-2023,08:45,Poveri milionari
Rai Movie,07-06-2023,10:25,Terminator
Rai Movie,07-06-2023,12:15,Il pistolero segnato da Dio
Rai Movie,07-06-2023,14:00,La rivolta dei sette
Rai Movie,07-06-2023,15:35,Execution
Rai Movie,07-06-2023,17:10,Missouri
Rai Movie,07-06-2023,19:20,Ciao Brother
Rai Movie,07-06-2023,21:10,Vivere
Rai Movie,07-06-2023,23:00,Movie Mag
Rai Movie,07-06-2023,23:25,Io e lei
