CHANNEL,DATE TIME,HOUR,EVENT
Rai Movie,06-06-2023,00:50,Missouri
Rai Movie,06-06-2023,03:00,Da uomo a uomo
Rai Movie,06-06-2023,05:00,Il segreto del Sahara
Rai Movie,06-06-2023,07:00,La risaia
Rai Movie,06-06-2023,08:45,Belle ma povere
Rai Movie,06-06-2023,10:30,La brava moglie
Rai Movie,06-06-2023,12:25,Bernie il delfino
Rai Movie,06-06-2023,14:00,Il meraviglioso paese
Rai Movie,06-06-2023,15:45,Il figlio di Aquila Nera
Rai Movie,06-06-2023,17:25,Gli inesorabili
Rai Movie,06-06-2023,19:25,Le pistolere
Rai Movie,06-06-2023,21:10,Cena con delitto - Knives Out
Rai Movie,06-06-2023,23:25,La giuria
