CHANNEL,DATE TIME,HOUR,EVENT
Rai Movie,09-06-2023,01:45,Anica - Appuntamento al cinema
Rai Movie,09-06-2023,01:50,I figli della notte
Rai Movie,09-06-2023,03:10,Bernie il delfino
Rai Movie,09-06-2023,04:30,Movie Mag
Rai Movie,09-06-2023,06:40,Totò contro il pirata nero
Rai Movie,09-06-2023,08:20,Caccia al marito
Rai Movie,09-06-2023,10:15,Jonathan degli orsi
Rai Movie,09-06-2023,12:20,Gli eroi del Pacifico
Rai Movie,09-06-2023,14:05,Grey Owl - Gufo grigio
Rai Movie,09-06-2023,16:05,Gli Imperdibili
Rai Movie,09-06-2023,16:10,Bernie il delfino
Rai Movie,09-06-2023,17:40,Il meraviglioso paese
Rai Movie,09-06-2023,19:20,Indio 2 - La rivolta
Rai Movie,09-06-2023,21:10,Sette anni in Tibet
Rai Movie,09-06-2023,23:35,I lunghi giorni delle aquile
