CHANNEL,DATE TIME,HOUR,EVENT
Rai Movie,08-06-2023,01:20,Bernie il delfino
Rai Movie,08-06-2023,02:50,Lacrime delle Dolomiti di Sesto
Rai Movie,08-06-2023,05:00,Il cacciatore di indiani
Rai Movie,08-06-2023,06:25,Vortice
Rai Movie,08-06-2023,08:20,Morgan il pirata
Rai Movie,08-06-2023,10:00,Terrore dallo spazio profondo
Rai Movie,08-06-2023,12:05,Barquero
Rai Movie,08-06-2023,14:00,Solo contro tutti
Rai Movie,08-06-2023,15:35,Gli inesorabili
Rai Movie,08-06-2023,17:45,I tre spietati
Rai Movie,08-06-2023,19:25,Occhio alla vedova!
Rai Movie,08-06-2023,21:10,Valerian e la città dei mille pianeti
Rai Movie,08-06-2023,23:30,Cena con delitto - Knives Out
