CHANNEL,DATE TIME,HOUR,EVENT
Rai Movie,04-06-2023,00:25,Terminator
Rai Movie,04-06-2023,02:20,Gli inesorabili
Rai Movie,04-06-2023,04:15,Stanlio e Ollio - I due legionari
Rai Movie,04-06-2023,05:00,Situazione imbarazzante
Rai Movie,04-06-2023,06:20,Wargames - Giochi di guerra
Rai Movie,04-06-2023,08:20,Anica - Appuntamento al cinema
Rai Movie,04-06-2023,08:25,I due invincibili
Rai Movie,04-06-2023,10:30,I due colonnelli
Rai Movie,04-06-2023,12:15,Il conte Tacchia
Rai Movie,04-06-2023,14:15,Bernie il delfino
Rai Movie,04-06-2023,15:50,La brava moglie
Rai Movie,04-06-2023,17:45,Il cacciatore di indiani
Rai Movie,04-06-2023,19:15,Tutti in piedi
Rai Movie,04-06-2023,21:10,"Amore, matrimoni e altri disastri,"
Rai Movie,04-06-2023,22:50,Il fidanzato di mia sorella
