CHANNEL,DATE TIME,HOUR,EVENT
Rai Storia,06-06-2023,00:00,Rai News Notte
Rai Storia,06-06-2023,00:05,Il giorno e la storia
Rai Storia,06-06-2023,00:25,Alla scoperta del ramo d'oro - Veronica Barassi - Puntata del 05/06/2023
Rai Storia,06-06-2023,01:05,Passato e Presente - Cosma Manera e la Legione Redenta
Rai Storia,06-06-2023,01:45,Italiani. Tina Lagostena Bassi
Rai Storia,06-06-2023,02:45,La lotta dell'uomo per la sopravvivenza. Questa nostra grandiosa civiltà della fretta. p. 10
Rai Storia,06-06-2023,03:35,Gli Etruschi attraverso Villa Giulia: Le origini
Rai Storia,06-06-2023,03:45,Testimoni del nostro tempo. Bruno Buozzi
Rai Storia,06-06-2023,04:45,"Roma, A.D. 1960 p.2. Tra passato e futuro"
Rai Storia,06-06-2023,05:40,Il giorno e la storia
Rai Storia,06-06-2023,06:00,Passato e Presente - Cosma Manera e la Legione Redenta
Rai Storia,06-06-2023,06:40,Viaggio in Europa - Dall'Aia a Bruxelles
Rai Storia,06-06-2023,07:40,"Roma, A.D. 1960 p.2. Tra passato e futuro"
Rai Storia,06-06-2023,08:35,Il giorno e la storia
Rai Storia,06-06-2023,08:55,Passato e Presente - Cosma Manera e la Legione Redenta
Rai Storia,06-06-2023,09:35,Italia viaggio nella bellezza - Leonessa d'Italia. Il Museo del Risorgimento di Brescia  - 05/06/2023
Rai Storia,06-06-2023,10:35,Storia delle nostre città - Bari. La porta d'Oriente - 07/03/2022
Rai Storia,06-06-2023,11:30,Storie Benemerite - Contro le mafie
Rai Storia,06-06-2023,11:35,Il giorno e la storia
Rai Storia,06-06-2023,11:55,Viaggio in Europa. Madrid
Rai Storia,06-06-2023,13:00,"Roma, A.D. 1960 p.3. Dolce Roma Dolce vita"
Rai Storia,06-06-2023,13:55,Storie Benemerite - Contro le mafie
Rai Storia,06-06-2023,14:00,Il giorno e la storia
Rai Storia,06-06-2023,14:20,Passato e Presente - Cosma Manera e la Legione Redenta
Rai Storia,06-06-2023,15:00,Telemaco p.6
Rai Storia,06-06-2023,16:00,Italiani Nino Manfredi
Rai Storia,06-06-2023,17:00,La lotta dell'uomo per la sopravvivenza. Un'arte nuova in un mondo di macchine. p. 11
Rai Storia,06-06-2023,17:45,Gli etruschi attraverso Villa Giulia: La società e il culto dei morti
Rai Storia,06-06-2023,17:55,Alla scoperta del ramo d'oro - Elisabetta Rasy - Puntata del 06/06/2023
Rai Storia,06-06-2023,18:35,La pace perduta. Il mondo nuovo è una realtà prossima
Rai Storia,06-06-2023,19:25,Rai News Giorno
Rai Storia,06-06-2023,19:30,I Presidenti del Consiglio dell'Unità d'Italia. Cavour
Rai Storia,06-06-2023,20:05,Storie Benemerite - Contro le mafie
Rai Storia,06-06-2023,20:10,Il giorno e la storia
Rai Storia,06-06-2023,20:30,Passato e Presente - Lo sbarco in Normandia
Rai Storia,06-06-2023,21:10,5000 anni e + La lunga storia dell'umanità - Odissea. Il mare del mito
Rai Storia,06-06-2023,22:10,Sciuscià 70
Rai Storia,06-06-2023,23:10,La battaglia di Normandia
