CHANNEL,DATE TIME,HOUR,EVENT
Rai Storia,08-06-2023,00:00,Rai News Notte
Rai Storia,08-06-2023,00:05,Il giorno e la storia
Rai Storia,08-06-2023,00:25,Alla scoperta del ramo d'oro - Anna Cereseto - Puntata del 07/06/2023
Rai Storia,08-06-2023,01:05,Passato e Presente - Lincoln e l'abolizione della schiavitù
Rai Storia,08-06-2023,01:45,a.C.d.C. Gutenberg. La rivoluzione della stampa
Rai Storia,08-06-2023,02:45,"La lotta dell'uomo per la sopravvivenza. Nonostante tutto, ancora più lontano. p. 12"
Rai Storia,08-06-2023,03:35,Gli Etruschi attraverso Villa Giulia: Lo scontro con Roma
Rai Storia,08-06-2023,03:50,"La pace perduta. Ragazzi, siete stati traditi"
Rai Storia,08-06-2023,04:40,"Roma, A.D.1960 p.4. Italiani"
Rai Storia,08-06-2023,05:35,Il giorno e la storia
Rai Storia,08-06-2023,06:00,Passato e Presente - Lincoln e l'abolizione della schiavitù
Rai Storia,08-06-2023,06:40,5000 anni e + La lunga storia dell'umanità - Odissea. Il mare del mito
Rai Storia,08-06-2023,07:40,Sciuscià 70
Rai Storia,08-06-2023,08:40,Il giorno e la storia
Rai Storia,08-06-2023,09:00,Passato e Presente - Lincoln e l'abolizione della schiavitù
Rai Storia,08-06-2023,09:40,Mixer – Vent'anni di televisione - Puntata del 01/06/2023
Rai Storia,08-06-2023,10:25,1939-1945. La II Guerra Mondiale - L'Europa alla vigilia della Seconda Guerra Mondiale
Rai Storia,08-06-2023,11:15,R.A.M. - La nave asilo Caracciolo
Rai Storia,08-06-2023,11:30,Storie benemerite - L'altra metà in uniforme
Rai Storia,08-06-2023,11:35,Il giorno e la storia
Rai Storia,08-06-2023,12:00,Viaggio in Europa. Monaco
Rai Storia,08-06-2023,13:00,"Roma, A.D. 1960 p.5. Il miracolo economico"
Rai Storia,08-06-2023,13:55,Storie benemerite - L'altra metà in uniforme
Rai Storia,08-06-2023,14:00,Il giorno e la storia
Rai Storia,08-06-2023,14:20,Passato e Presente - Lincoln e l'abolizione della schiavitù
Rai Storia,08-06-2023,15:00,Italiani Fernando Aiuti
Rai Storia,08-06-2023,15:50,Storia delle nostre città - Bari. La porta d'Oriente - 07/03/2022
Rai Storia,08-06-2023,16:40,R.A.M. Qui Radio Bari
Rai Storia,08-06-2023,16:55,I bambini e noi: S1970E1 - La fatica
Rai Storia,08-06-2023,17:55,Alla scoperta del ramo d'oro - Davide Susanetti - Puntata del 08/06/2023
Rai Storia,08-06-2023,18:35,La pace perduta. La violenza dell'ora decisiva
Rai Storia,08-06-2023,19:30,Rai News Giorno
Rai Storia,08-06-2023,19:35,Spie Eros Vecchi: il rivoluzionario in camicia nera
Rai Storia,08-06-2023,19:50,Ferdinando Magellano e la via delle spezie
Rai Storia,08-06-2023,20:05,Storie benemerite - L'altra metà in uniforme
Rai Storia,08-06-2023,20:10,Il giorno e la storia
Rai Storia,08-06-2023,20:30,Passato e Presente - Gli italiani nelle scuole del Comintern 
Rai Storia,08-06-2023,21:10,a.C.d.C. Apocalissi del passato - p.1 - La fine dell'Impero Accadico
Rai Storia,08-06-2023,22:05,a.C.d.C. Apocalissi del passato. p. 2 - La distruzione di Sodoma: tra leggenda e realtà
Rai Storia,08-06-2023,23:00,Italia viaggio nella bellezza - Leonessa d'Italia. Il Museo del Risorgimento di Brescia  - 05/06/2023
