CHANNEL,DATE TIME,HOUR,EVENT
Rai Storia,04-06-2023,00:40,Rai News Notte
Rai Storia,04-06-2023,00:45,Il giorno e la storia
Rai Storia,04-06-2023,01:05,Passato e Presente - Giovanni XXIII. Uomo del dialogo - 19/01/2023
Rai Storia,04-06-2023,01:40,"Ohei, son qui! Incontro con Enzo Jannacci"
Rai Storia,04-06-2023,02:20,1919-1922 Cento anni dopo E6 - La marcia su Roma
Rai Storia,04-06-2023,03:15,La lotta dell'uomo per la sopravvivenza. Dall'età della magia all'età della scienza. p. 8
Rai Storia,04-06-2023,04:10,L'Italia dei dialetti: Puntata 11 - Una città del Nord
Rai Storia,04-06-2023,04:40,Falqui Show. Puntata 15
Rai Storia,04-06-2023,05:40,Il giorno e la storia
Rai Storia,04-06-2023,06:00,Passato e Presente - Giovanni XXIII. Uomo del dialogo - 19/01/2023
Rai Storia,04-06-2023,06:40,Telemaco p.6
Rai Storia,04-06-2023,07:35,Duegiugno46 - Il giorno che divenne festa
Rai Storia,04-06-2023,08:30,Il giorno e la storia
Rai Storia,04-06-2023,08:50,"Scritto, letto, detto: Eliana Di Caro"
Rai Storia,04-06-2023,09:00,Passato e Presente - Giovanni XXIII. Uomo del dialogo - 19/01/2023
Rai Storia,04-06-2023,09:45,"Storia sotto inchiesta. Midway, quattro minuti di battaglia"
Rai Storia,04-06-2023,10:30,1: Life On The Limit 
Rai Storia,04-06-2023,12:25,Viaggio in Europa. Budapest
Rai Storia,04-06-2023,13:20,"Roma, A.D. 1960 p.1. L'anno che verrà"
Rai Storia,04-06-2023,14:15,Il giorno e la storia
Rai Storia,04-06-2023,14:40,Passato e Presente - Giovanni XXIII. Uomo del dialogo - 19/01/2023
Rai Storia,04-06-2023,15:15,5000 anni e + La lunga storia dell'umanità - Odissea. Dalle stelle al mondo sotterraneo
Rai Storia,04-06-2023,16:15,Gutenberg. La rivoluzione della stampa
Rai Storia,04-06-2023,17:10,La lotta dell'uomo per la sopravvivenza. Lo spirito scientifico conquista il mondo. p. 9
Rai Storia,04-06-2023,18:05,La liberazione di Roma
Rai Storia,04-06-2023,18:55,Rai News Giorno
Rai Storia,04-06-2023,19:00,Testimoni del nostro tempo. Bruno Buozzi
Rai Storia,04-06-2023,19:55,Storie Benemerite - Quando una calamità
Rai Storia,04-06-2023,20:00,Il giorno e la storia
Rai Storia,04-06-2023,20:20,"Scritto, letto, detto: Eliana Di Caro"
Rai Storia,04-06-2023,20:30,Passato e Presente - 1944: Roma città liberata
Rai Storia,04-06-2023,21:10,Il Caso Collini
Rai Storia,04-06-2023,23:10,Telemaco p.6
