CHANNEL,DATE TIME,HOUR,EVENT
Rai Storia,03-06-2023,00:05,Rai News Notte
Rai Storia,03-06-2023,00:20,Il giorno e la storia
Rai Storia,03-06-2023,00:25,Alla scoperta del ramo d'oro - Silvia Romani - Puntata del 02/06/2023
Rai Storia,03-06-2023,01:05,Passato e Presente - 1946. La nascita della Repubblica
Rai Storia,03-06-2023,01:45,Lettere da Barbiana
Rai Storia,03-06-2023,02:35,ReStore - Tv7. La fine del Biafra
Rai Storia,03-06-2023,02:55,1919-1922 Cento anni dopo p.5. Il raid Roma-Tokyo
Rai Storia,03-06-2023,03:45,La lotta dell'uomo per la sopravvivenza. In cerca delle Indie oltre l'Oceano ignoto. p. 7 
Rai Storia,03-06-2023,04:40,Falqui Show. Puntata 14
Rai Storia,03-06-2023,05:40,Il giorno e la storia
Rai Storia,03-06-2023,06:00,Passato e Presente - 1946. La nascita della Repubblica
Rai Storia,03-06-2023,06:40,L'Italia della Repubblica - L'alba della Repubblica
Rai Storia,03-06-2023,07:35,L'Italia della Repubblica - Costruire la Repubblica
Rai Storia,03-06-2023,08:35,Il giorno e la storia
Rai Storia,03-06-2023,08:55,"Scritto, letto, detto: Carlo Greppi"
Rai Storia,03-06-2023,09:05,Passato e Presente - 1946. La nascita della Repubblica
Rai Storia,03-06-2023,09:45,Telemaco p.6
Rai Storia,03-06-2023,10:45,Il viaggio di Giovanni XXIII a Loreto ed Assisi
Rai Storia,03-06-2023,11:35,Il giorno e la storia
Rai Storia,03-06-2023,12:00,Viaggio in Europa - In Olanda e Ritratto di Dublino
Rai Storia,03-06-2023,12:50,Falqui Show. Puntata 15
Rai Storia,03-06-2023,13:45,Pillole Argo La libertà negata
Rai Storia,03-06-2023,13:55,Storie benemerite - Tra piombo e terrore
Rai Storia,03-06-2023,14:10,Il giorno e la storia
Rai Storia,03-06-2023,14:25,Passato e Presente - 1946. La nascita della Repubblica
Rai Storia,03-06-2023,15:00,1919-1922 Cento anni dopo E6 - La marcia su Roma
Rai Storia,03-06-2023,16:00,La lotta dell'uomo per la sopravvivenza. Dall'età della magia all'età della scienza. p. 8
Rai Storia,03-06-2023,17:00,Non c'è pace tra gli ulivi
Rai Storia,03-06-2023,18:40,Italiani con Paolo Mieli - Giovanni XXIII. Il parroco del mondo
Rai Storia,03-06-2023,19:35,Rai News Giorno
Rai Storia,03-06-2023,19:40,"Elisabetta II, 70 anni di regno"
Rai Storia,03-06-2023,19:55,Gli Imperdibili
Rai Storia,03-06-2023,20:00,Storie benemerite - Tra piombo e terrore
Rai Storia,03-06-2023,20:05,Il giorno e la storia
Rai Storia,03-06-2023,20:20,"Scritto, letto, detto: Carlo Greppi"
Rai Storia,03-06-2023,20:35,Passato e Presente - Giovanni XXIII. Uomo del dialogo - 19/01/2023
Rai Storia,03-06-2023,21:10,Scemo di guerra
Rai Storia,03-06-2023,22:55,1: Life On The Limit 
