CHANNEL,DATE TIME,HOUR,EVENT
Rai 2,05-06-2023,00:00,La Domenica Sportiva
Rai 2,05-06-2023,01:00,Meteo 2
Rai 2,05-06-2023,01:05,Check Up - Puntata del 27/05/2023
Rai 2,05-06-2023,01:55,Appuntamento al cinema
Rai 2,05-06-2023,02:00,RaiNews24
Rai 2,05-06-2023,06:00,Piloti
Rai 2,05-06-2023,06:10,La Grande Vallata S2E22 - Il prezzo della vittoria
Rai 2,05-06-2023,07:00,Viva Asiago 10!
Rai 2,05-06-2023,07:10,Arriva Viva Rai2!
Rai 2,05-06-2023,07:15,Viva Rai2!
Rai 2,05-06-2023,08:00,Aracataca. Non voglio cambiare pianeta 2 – Ep21 - Il matto
Rai 2,05-06-2023,08:15,E viva il Videobox
Rai 2,05-06-2023,08:30,TG2
Rai 2,05-06-2023,08:45,Radio2 Social Club
Rai 2,05-06-2023,09:58,Meteo 2
Rai 2,05-06-2023,10:00,TG2 Italia
Rai 2,05-06-2023,10:55,TG2 Flash
Rai 2,05-06-2023,11:00,TG Sport Giorno
Rai 2,05-06-2023,11:10,I Fatti Vostri
Rai 2,05-06-2023,13:00,TG2 GIORNO
Rai 2,05-06-2023,13:30,TG2 Costume e Società
Rai 2,05-06-2023,13:50,TG2 Medicina 33
Rai 2,05-06-2023,14:00,Ore 14 - Puntata del 05/06/2023
Rai 2,05-06-2023,15:25,Squadra Speciale Cobra 11 S23E11 - Tra la vita e la morte
Rai 2,05-06-2023,16:17,Squadra Speciale Cobra 11 S23E12 - Capolinea
Rai 2,05-06-2023,17:00,Candice Renoir S6E4 - È facile mentire per chi viene da lontano
Rai 2,05-06-2023,18:00,TG Parlamento
Rai 2,05-06-2023,18:10,TG2 L.I.S.
Rai 2,05-06-2023,18:15,TG2
Rai 2,05-06-2023,18:35,TG Sport Sera
Rai 2,05-06-2023,18:58,Meteo 2
Rai 2,05-06-2023,19:00,Hawaii Five-0 S8E12 - La retata
Rai 2,05-06-2023,19:40,N.C.I.S. S17E19 - Il giorno di San Patrizio
Rai 2,05-06-2023,20:30,TG2 20.30
Rai 2,05-06-2023,21:00,TG2 Post
Rai 2,05-06-2023,21:20,N.C.I.S. Los Angeles S14E20 - Nuovi inizi (1a parte)
Rai 2,05-06-2023,22:10,N.C.I.S. Los Angeles S14E21 - Nuovi inizi (2a parte)
Rai 2,05-06-2023,23:00,Blue Bloods S13E21 - Il segreto della felicità
Rai 2,05-06-2023,23:40,Underdog - Marcell Jacobs - 05/06/2023
