CHANNEL,DATE TIME,HOUR,EVENT
Rai 2,08-06-2023,00:47,Meteo 2
Rai 2,08-06-2023,00:55,I Lunatici
Rai 2,08-06-2023,02:15,Casa Italia
Rai 2,08-06-2023,03:45,Eat Local - A cena coi vampiri
Rai 2,08-06-2023,05:10,Piloti
Rai 2,08-06-2023,05:20,La Grande Vallata S2E27 - Inferno a Limbo City
Rai 2,08-06-2023,06:10,La Grande Vallata S2E28 - La maestrina di Mesa
Rai 2,08-06-2023,07:00,Viva Asiago 10!
Rai 2,08-06-2023,07:10,Arriva Viva Rai2!
Rai 2,08-06-2023,07:15,Viva Rai2!
Rai 2,08-06-2023,08:00,#controvento - In viaggio con BluElena
Rai 2,08-06-2023,08:10,E viva il Videobox
Rai 2,08-06-2023,08:30,TG2
Rai 2,08-06-2023,08:45,Radio2 Social Club
Rai 2,08-06-2023,09:58,Meteo 2
Rai 2,08-06-2023,10:00,TG2 Italia
Rai 2,08-06-2023,10:55,TG2 Flash
Rai 2,08-06-2023,11:00,TG Sport Giorno
Rai 2,08-06-2023,11:10,I Fatti Vostri
Rai 2,08-06-2023,13:00,TG2 GIORNO
Rai 2,08-06-2023,13:30,TG2 Tutto il bello che c'è
Rai 2,08-06-2023,13:50,TG2 Medicina 33
Rai 2,08-06-2023,14:00,Ore 14 - Puntata del 08/06/2023
Rai 2,08-06-2023,15:25,Squadra Speciale Cobra 11 S23E17 - Il cliente
Rai 2,08-06-2023,16:17,Squadra Speciale Cobra 11 23E18 - Il farmaco
Rai 2,08-06-2023,17:00,Candice Renoir S6E8 - Tutto è concesso in guerra e in amore
Rai 2,08-06-2023,18:00,TG Parlamento
Rai 2,08-06-2023,18:10,TG2 L.I.S.
Rai 2,08-06-2023,18:15,TG2
Rai 2,08-06-2023,18:35,TG Sport Sera
Rai 2,08-06-2023,18:58,Meteo 2
Rai 2,08-06-2023,19:00,Hawaii Five-0 S8E15 - Attraversando il ponte
Rai 2,08-06-2023,19:40,N.C.I.S. S18E2 - Tutto ha un inizio
Rai 2,08-06-2023,20:30,TG2 20.30
Rai 2,08-06-2023,21:00,TG2 Post
Rai 2,08-06-2023,21:20,Spirale di bugie E1
Rai 2,08-06-2023,23:00,Shake - S1E1 - Thomas
Rai 2,08-06-2023,23:25,Shake - S1E2 - Beatrice
Rai 2,08-06-2023,23:50,Shake - S1E3 - Gaia
