CHANNEL,DATE TIME,HOUR,EVENT
Rai 2,09-06-2023,00:20,Shake - S1E4 - Tutti
Rai 2,09-06-2023,00:45,I Lunatici
Rai 2,09-06-2023,02:30,Radiocorsa
Rai 2,09-06-2023,03:30,Casa Italia
Rai 2,09-06-2023,05:00,TG2 Eat Parade
Rai 2,09-06-2023,05:10,Piloti
Rai 2,09-06-2023,05:20,La Grande Vallata S2E29 - Una suora con le pistole
Rai 2,09-06-2023,06:10,La Grande Vallata S2E30 - La gabbia dell'aquila
Rai 2,09-06-2023,07:00,Viva Asiago 10!
Rai 2,09-06-2023,07:10,Arriva Viva Rai2!
Rai 2,09-06-2023,07:15,Viva Rai2!
Rai 2,09-06-2023,08:00,#controvento - In viaggio con BluElena
Rai 2,09-06-2023,08:10,E viva il Videobox
Rai 2,09-06-2023,08:30,TG2
Rai 2,09-06-2023,08:45,Radio2 Social Club
Rai 2,09-06-2023,09:55,Gli imperdibili
Rai 2,09-06-2023,09:58,Meteo 2
Rai 2,09-06-2023,10:00,TG2 Italia
Rai 2,09-06-2023,10:50,TG2 Flash
Rai 2,09-06-2023,10:55,Incontro del Presidente della Consob con il Mercato Finanziario
Rai 2,09-06-2023,12:00,I Fatti Vostri
Rai 2,09-06-2023,13:00,TG2 GIORNO
Rai 2,09-06-2023,13:30,TG2 Eat Parade
Rai 2,09-06-2023,13:50,"TG2 Sì, Viaggiare"
Rai 2,09-06-2023,14:00,Ore 14 - Puntata del 09/06/2023
Rai 2,09-06-2023,15:25,Squadra Speciale Cobra 11 S24E1 - Buon compleanno
Rai 2,09-06-2023,16:17,Squadra Speciale Cobra 11 S24E2 - Affari interni
Rai 2,09-06-2023,17:00,Candice Renoir S6E9 - L'unione fa la forza (1a parte)
Rai 2,09-06-2023,18:00,TG Parlamento
Rai 2,09-06-2023,18:10,TG2 L.I.S.
Rai 2,09-06-2023,18:15,TG2
Rai 2,09-06-2023,18:35,TG Sport Sera
Rai 2,09-06-2023,18:58,Meteo 2
Rai 2,09-06-2023,19:00,Hawaii Five-0 S8E16 - Caccia al tesoro
Rai 2,09-06-2023,19:40,N.C.I.S. S18E3 - Il mio tesoro
Rai 2,09-06-2023,20:30,TG2 20.30
Rai 2,09-06-2023,21:00,TG2 Post
Rai 2,09-06-2023,21:20,Spirale di bugie E2
Rai 2,09-06-2023,23:00,Calcio Totale Estate
