CHANNEL,DATE TIME,HOUR,EVENT
Rai 2,07-06-2023,00:25,La conferenza stampa - Stefano De Martino - Puntata del 30/11/2022
Rai 2,07-06-2023,00:55,La conferenza stampa - Valerio Lundini - Puntata del 07/12/2022
Rai 2,07-06-2023,01:20,Generazione Z
Rai 2,07-06-2023,02:37,Meteo 2
Rai 2,07-06-2023,02:40,Appuntamento al cinema
Rai 2,07-06-2023,02:45,Casa Italia
Rai 2,07-06-2023,04:00,Candice Renoir S6E6 - La goccia che fa traboccare il vaso
Rai 2,07-06-2023,04:50,Piloti
Rai 2,07-06-2023,05:20,La Grande Vallata S2E25 - La diga
Rai 2,07-06-2023,06:10,La Grande Vallata S2E26 - Poker a due
Rai 2,07-06-2023,07:00,Viva Asiago 10!
Rai 2,07-06-2023,07:10,Arriva Viva Rai2!
Rai 2,07-06-2023,07:15,Viva Rai2!
Rai 2,07-06-2023,08:00,#controvento - In viaggio con BluElena
Rai 2,07-06-2023,08:10,E viva il Videobox
Rai 2,07-06-2023,08:30,TG2
Rai 2,07-06-2023,08:45,Radio2 Social Club
Rai 2,07-06-2023,09:58,Meteo 2
Rai 2,07-06-2023,10:00,TG2 Italia
Rai 2,07-06-2023,10:55,TG2 Flash
Rai 2,07-06-2023,11:00,TG Sport Giorno
Rai 2,07-06-2023,11:10,I Fatti Vostri
Rai 2,07-06-2023,13:00,TG2 GIORNO
Rai 2,07-06-2023,13:30,TG2 Costume e Società
Rai 2,07-06-2023,13:50,TG2 Medicina 33
Rai 2,07-06-2023,14:00,Ore 14 - Puntata del 07/06/2023
Rai 2,07-06-2023,15:25,Squadra Speciale Cobra 11 S23E15 - I guardiani di Engonia
Rai 2,07-06-2023,16:17,Squadra Speciale Cobra 11 S23E16 - Senso di colpa
Rai 2,07-06-2023,17:00,Candice Renoir S6E7 - L'Inferno è ricoperto di buone intenzioni
Rai 2,07-06-2023,18:00,TG Parlamento
Rai 2,07-06-2023,18:10,TG2 L.I.S.
Rai 2,07-06-2023,18:15,TG2
Rai 2,07-06-2023,18:35,TG Sport Sera
Rai 2,07-06-2023,18:58,Meteo 2
Rai 2,07-06-2023,19:00,Hawaii Five 0 S8E14 - Un nuovo informatore
Rai 2,07-06-2023,19:40,N.C.I.S. S18E1 - La stagione dello storione
Rai 2,07-06-2023,20:30,TG2 20.30
Rai 2,07-06-2023,21:00,TG2 Post
Rai 2,07-06-2023,21:20,The Good Doctor S6E19 - Mezze misure
Rai 2,07-06-2023,22:10,The Good Doctor S6E20 - Fortunato
Rai 2,07-06-2023,23:00,Pallottole in libertà
