CHANNEL,DATE TIME,HOUR,EVENT
Rai 2,03-06-2023,00:04,Meteo 2
Rai 2,03-06-2023,00:10,Paradise. La finestra sullo showbiz
Rai 2,03-06-2023,01:55,Appuntamento al cinema
Rai 2,03-06-2023,02:00,RaiNews24
Rai 2,03-06-2023,06:00,RaiNews24
Rai 2,03-06-2023,06:30,Il Confronto - puntata del 01/06/2023 del 01/06/2023
Rai 2,03-06-2023,07:00,Paradise. La finestra sullo showbiz
Rai 2,03-06-2023,08:35,Il Meglio di Radio2 Social Club
Rai 2,03-06-2023,09:35,Per me - Puntata del 03/06/2023
Rai 2,03-06-2023,10:15,I mestieri di Mirko - Olio di gomito - Pt1
Rai 2,03-06-2023,10:39,I mestieri di Mirko - Si torna a scuola - 17^ Puntata
Rai 2,03-06-2023,10:55,Meteo 2
Rai 2,03-06-2023,11:00,TG Sport Giorno
Rai 2,03-06-2023,11:15,Pizza Doc - Puntata del 03/06/2023
Rai 2,03-06-2023,12:05,Fatto da mamma e da papà
Rai 2,03-06-2023,13:00,TG2 GIORNO
Rai 2,03-06-2023,13:30,TG2 Week-End
Rai 2,03-06-2023,14:00,Non Stop...Now - Puntata del 03/06/2023
Rai 2,03-06-2023,14:45,Bellissima Italia - A caccia di sapori
Rai 2,03-06-2023,15:30,Professor T (UK) S1E1 - Anatomia di un ricordo
Rai 2,03-06-2023,16:25,Professor T (UK) S1E2 - Un pesce di nome Walter
Rai 2,03-06-2023,17:20,Il Meglio di Radio2 Social Club
Rai 2,03-06-2023,17:50,Gli Imperdibili
Rai 2,03-06-2023,17:55,TG2 L.I.S.
Rai 2,03-06-2023,17:58,Meteo 2
Rai 2,03-06-2023,18:00,Regata delle Antiche Repubbliche Marinare d'Italia
Rai 2,03-06-2023,18:50,TG Sport Sera
Rai 2,03-06-2023,19:00,The Blacklist - Arcane Wireless (n° 154)
Rai 2,03-06-2023,19:41,The Blacklist - Il conglomerato (n° 142)
Rai 2,03-06-2023,20:30,TG2 20.30
Rai 2,03-06-2023,21:00,TG2 Post
Rai 2,03-06-2023,21:20,F.B.I. S5E13 - Mentore
Rai 2,03-06-2023,22:10,F.B.I. International S2E12 - Indigo
Rai 2,03-06-2023,23:00,TG2 Dossier
Rai 2,03-06-2023,23:43,Meteo 2
Rai 2,03-06-2023,23:50,TG2 Storie. I racconti della settimana
