CHANNEL,DATE TIME,HOUR,EVENT
Rai 2,04-06-2023,00:30,TG2 Mizar
Rai 2,04-06-2023,00:55,TG2 Cinematinée
Rai 2,04-06-2023,01:00,TG2 Achab Libri
Rai 2,04-06-2023,01:05,"TG2 Sì, Viaggiare"
Rai 2,04-06-2023,01:15,TG2 Eat Parade
Rai 2,04-06-2023,01:30,Appuntamento al cinema
Rai 2,04-06-2023,01:35,RaiNews24
Rai 2,04-06-2023,06:00,RaiNews24
Rai 2,04-06-2023,07:00,"Automobilismo - World Rally Championship 2023 - Rally Italia Sardegna, 4a prova: Arzachena – Braniatogghiu 1"
Rai 2,04-06-2023,08:45,TG2 Dossier
Rai 2,04-06-2023,09:30,Radio2 Happy Family
Rai 2,04-06-2023,11:00,TG Sport Giorno
Rai 2,04-06-2023,11:15,Citofonare Rai2
Rai 2,04-06-2023,13:00,TG2 GIORNO
Rai 2,04-06-2023,13:30,TG2 Motori
Rai 2,04-06-2023,13:58,Meteo 2
Rai 2,04-06-2023,14:00,Wild Italy: Aquile - S5E1
Rai 2,04-06-2023,14:56,Wild Italy: Ragni - S5E2
Rai 2,04-06-2023,16:00,Domenica Dribbling - Anteprima
Rai 2,04-06-2023,16:05,Domenica Dribbling - Salute
Rai 2,04-06-2023,16:20,Domenica Dribbling - Le storie
Rai 2,04-06-2023,16:55,Domenica Dribbling
Rai 2,04-06-2023,18:00,TG2 L.I.S.
Rai 2,04-06-2023,18:05,TG Sport della Domenica
Rai 2,04-06-2023,18:25,90° Minuto
Rai 2,04-06-2023,19:45,90° Minuto - Tempi Supplementari
Rai 2,04-06-2023,20:30,TG2 20.30
Rai 2,04-06-2023,21:00,Speciale 90° minuto: Sarò con te - La festa del Napoli
