CHANNEL,DATE TIME,HOUR,EVENT
Rai 2,10-06-2023,00:00,Paradise La finestra sullo showbiz
Rai 2,10-06-2023,01:51,Meteo 2
Rai 2,10-06-2023,01:55,Appuntamento al cinema
Rai 2,10-06-2023,02:00,RaiNews24
Rai 2,10-06-2023,06:00,RaiNews24
Rai 2,10-06-2023,06:30,Il Confronto
Rai 2,10-06-2023,07:00,Paradise La finestra sullo showbiz
Rai 2,10-06-2023,08:35,Meglio di Radio2 Social Club
Rai 2,10-06-2023,10:00,Underdog
Rai 2,10-06-2023,10:55,Meteo 2
Rai 2,10-06-2023,11:00,TG Sport Giorno
Rai 2,10-06-2023,11:15,Pizza Doc
Rai 2,10-06-2023,12:05,Fatto da mamma e da papà
Rai 2,10-06-2023,13:00,TG2 - GIORNO
Rai 2,10-06-2023,13:30,TG2 Week-End
Rai 2,10-06-2023,14:00,Non Stop...Now
Rai 2,10-06-2023,14:45,Bellissima Italia - A caccia di sapori
Rai 2,10-06-2023,15:30,DonnAvventura Green
Rai 2,10-06-2023,16:25,Professor T - Tigre contro tigre
Rai 2,10-06-2023,17:20,Amore di madre
Rai 2,10-06-2023,18:10,Gli imperdibili
Rai 2,10-06-2023,18:15,TG2 L.I.S.
Rai 2,10-06-2023,18:18,Meteo 2
Rai 2,10-06-2023,18:20,TG Sport Sera
Rai 2,10-06-2023,19:00,The Blacklist - Il presidente (n° 171)
Rai 2,10-06-2023,19:42,La Genuine Models (n° 176) 1^ Visione Ra
Rai 2,10-06-2023,20:30,TG2 -20.30
Rai 2,10-06-2023,21:00,TG2 Post
Rai 2,10-06-2023,21:20,Cristalli di memoria 1^ Visione Rai
Rai 2,10-06-2023,23:00,TG2 Dossier
Rai 2,10-06-2023,23:45,Meteo 2
Rai 2,10-06-2023,23:50,TG2 - Storie. I racconti della settimana
