CHANNEL,DATE TIME,HOUR,EVENT
Rai News 24,03-06-2023,00:00,NEWS
Rai News 24,03-06-2023,00:30,RASSEGNA STAMPA
Rai News 24,03-06-2023,01:00,NEWS
Rai News 24,03-06-2023,01:30,NEWS
Rai News 24,03-06-2023,01:45,AMARCORD
Rai News 24,03-06-2023,02:00,RASSEGNA STAMPA
Rai News 24,03-06-2023,02:30,NEWS
Rai News 24,03-06-2023,02:45,FOCUS 24
Rai News 24,03-06-2023,03:00,NEWS + RASSEGNA STAMPA
Rai News 24,03-06-2023,03:30,NEWS
Rai News 24,03-06-2023,03:45,FOCUS 24
Rai News 24,03-06-2023,04:00,NEWS + RASSEGNA STAMPA
Rai News 24,03-06-2023,04:30,FOCUS 24
Rai News 24,03-06-2023,04:45,TUTTI I FRUTTI
Rai News 24,03-06-2023,05:00,NEWS + RASSEGNA STAMPA
Rai News 24,03-06-2023,05:30,NEWS + RASSEGNA STAMPA
Rai News 24,03-06-2023,06:00,NEWS + TITOLI
Rai News 24,03-06-2023,06:20,RASSEGNA STAMPA PRIME PAGINE
Rai News 24,03-06-2023,06:26,METEO SHOW
Rai News 24,03-06-2023,06:30,NEWS
Rai News 24,03-06-2023,06:45,FOCUS 24
Rai News 24,03-06-2023,06:57,CISS
Rai News 24,03-06-2023,07:00,NEWS + TITOLI
Rai News 24,03-06-2023,07:30,RASSEGNA STAMPA
Rai News 24,03-06-2023,07:54,METEO SHOW
Rai News 24,03-06-2023,08:00,NEWS
Rai News 24,03-06-2023,08:26,CCISS
Rai News 24,03-06-2023,08:30,RASSEGNA STAMPA
Rai News 24,03-06-2023,08:53,METEO SHOW
Rai News 24,03-06-2023,09:00,NEWS + TITOLI
Rai News 24,03-06-2023,09:30,TUTTI I FRUTTI
Rai News 24,03-06-2023,10:00,NEWS + TITOLI
Rai News 24,03-06-2023,10:15,SAPORI E COLORI
Rai News 24,03-06-2023,10:30,NEWS + SOMMARIO
Rai News 24,03-06-2023,10:45,AR
Rai News 24,03-06-2023,10:57,PROMO PRIMA SERATA RAI DEL GIORNO
Rai News 24,03-06-2023,11:00,TG LIS
Rai News 24,03-06-2023,11:04,SABATO 24
Rai News 24,03-06-2023,11:30,SABATO 24
Rai News 24,03-06-2023,12:00,NEWS
Rai News 24,03-06-2023,12:30,SPORT 24
Rai News 24,03-06-2023,13:00,NEWS + TITOLI
Rai News 24,03-06-2023,13:27,PROMO PRIMA SERATA RAI DEL GIORNO
Rai News 24,03-06-2023,13:30,NEWS
Rai News 24,03-06-2023,13:45,MOTORI 24
Rai News 24,03-06-2023,14:00,NEWS + TITOLI
Rai News 24,03-06-2023,14:30,CAMMINA ITALIA
Rai News 24,03-06-2023,15:00,TG IN LINGUA UCRAINA
Rai News 24,03-06-2023,15:05,NEWS + TITOLI
Rai News 24,03-06-2023,15:30,NEWS + SOMMARIO
Rai News 24,03-06-2023,15:40,LA VIA DEI LIBRI
Rai News 24,03-06-2023,15:45,CENTRAL PARK WEST
Rai News 24,03-06-2023,16:00,NEWS + TITOLI
Rai News 24,03-06-2023,16:27,PROMO PRIMA SERATA RAI DEL GIORNO
Rai News 24,03-06-2023,16:30,NEWS
Rai News 24,03-06-2023,16:40,POP CORN
Rai News 24,03-06-2023,16:45,FUTURO 24
Rai News 24,03-06-2023,17:00,NEWS + TITOLI
Rai News 24,03-06-2023,17:30,NEWS
Rai News 24,03-06-2023,17:40,IN SCENA
Rai News 24,03-06-2023,17:45,SAPORI E COLORI
Rai News 24,03-06-2023,18:00,NEWS
Rai News 24,03-06-2023,18:30,SPOTLIGHT
Rai News 24,03-06-2023,19:00,NEWS + TITOLI
Rai News 24,03-06-2023,19:30,NEWS SOMMARIO
Rai News 24,03-06-2023,19:35,SPORT 24
Rai News 24,03-06-2023,19:45,MOTORI 24
Rai News 24,03-06-2023,20:00,TG LIS + NEWS
Rai News 24,03-06-2023,20:30,TUTTI I FRUTTI
Rai News 24,03-06-2023,21:00,NEWS + TITOLI
Rai News 24,03-06-2023,21:30,CAMMINA ITALIA
Rai News 24,03-06-2023,22:00,NEWS + TITOLI
Rai News 24,03-06-2023,22:30,NEWS
Rai News 24,03-06-2023,22:45,BASTA LA SALUTE
Rai News 24,03-06-2023,23:00,NEWS
Rai News 24,03-06-2023,23:15,RASSEGNA STAMPA
Rai News 24,03-06-2023,23:53,LA VIA DEI LIBRI
