CHANNEL,DATE TIME,HOUR,EVENT
Rai 5,07-06-2023,00:18,U2 Live in London
Rai 5,07-06-2023,01:18,Rai News Notte
Rai 5,07-06-2023,01:19,I promessi sposi (1989) - E2
Rai 5,07-06-2023,02:48,Ghost Town: Isole Svalbard - E1
Rai 5,07-06-2023,03:56,Evolution - Il viaggio di Darwin pt. 176
Rai 5,07-06-2023,05:43,Gli indifferenti di Alberto Moravia
Rai 5,07-06-2023,06:00,Meraviglie naturali della Danimarca Il m
Rai 5,07-06-2023,06:00,L'Attimo Fuggente Episodio 7
Rai 5,07-06-2023,06:00,Scrivere un classico nel Novecento: Il n
Rai 5,07-06-2023,06:52,L'attimo fuggente - E8
Rai 5,07-06-2023,07:22,I promessi sposi (1989) - E2
Rai 5,07-06-2023,08:49,Ghost Town: Isole Svalbard - E1
Rai 5,07-06-2023,09:50,ANICA APPUNTAMENTO AL CINEMA
Rai 5,07-06-2023,09:59,Opera - La rondine (Teatro San Carlo)
Rai 5,07-06-2023,11:41,Opera - Il tabarro (1957 - De Fabritiis)
Rai 5,07-06-2023,12:36,Prossima fermata America S2E8 - Milwaukee - Chicago
Rai 5,07-06-2023,13:35,L'attimo fuggente - E8
Rai 5,07-06-2023,14:05,Di là dal fiume e tra gli alberi - S5E15
Rai 5,07-06-2023,15:54,Teatro - Il matrimonio
Rai 5,07-06-2023,18:08,Inventare il tempo - Schubert
Rai 5,07-06-2023,18:58,Rai 5 Classic Puntata 46 Prima Visione R
Rai 5,07-06-2023,19:32,Rai News Giorno
Rai 5,07-06-2023,19:34,I promessi sposi (1989) - E3
Rai 5,07-06-2023,20:50,Ghost Town Ep 2 Apice
Rai 5,07-06-2023,21:15,Art Night Puntata 26 - Piero della Franc
Rai 5,07-06-2023,22:10,Rock Legends: Tina Turner
Rai 5,07-06-2023,22:53,Nile Rodgers Come farcela nel mondo della musica - E1
Rai 5,07-06-2023,23:52,Rock Legends: Ramones
