CHANNEL,DATE TIME,HOUR,EVENT
Rai 5,08-06-2023,00:14,David Gilmour Live at Pompei
Rai 5,08-06-2023,01:13,Rai News Notte
Rai 5,08-06-2023,01:14,I promessi sposi (1989) - E3
Rai 5,08-06-2023,02:30,Ghost Town: Apice (Campania) - E2
Rai 5,08-06-2023,03:28,Di là dal fiume e tra gli alberi - S5E15
Rai 5,08-06-2023,05:17,Paradisi da salvare Le cascate di Iguazu
Rai 5,08-06-2023,06:00,Cristo si è fermato a Eboli di Carlo Levi
Rai 5,08-06-2023,06:11,Di là dal fiume e tra gli alberi - S5E15 versione ridotta
Rai 5,08-06-2023,06:11,L'Attimo Fuggente Episodio 8
Rai 5,08-06-2023,07:04,L'attimo fuggente - E9
Rai 5,08-06-2023,07:35,I promessi sposi (1989) - E3
Rai 5,08-06-2023,08:51,Ghost Town: Apice (Campania) - E2
Rai 5,08-06-2023,09:49,ANICA APPUNTAMENTO AL CINEMA
Rai 5,08-06-2023,10:00,La fanciulla del west (Teatro San Carlo)
Rai 5,08-06-2023,12:23,Prossima fermata America S2E9 -  Chicago - Champaign
Rai 5,08-06-2023,13:23,L'attimo fuggente - E9
Rai 5,08-06-2023,14:00,Evolution - Il viaggio di Darwin pt. 177
Rai 5,08-06-2023,15:44,Un mese in campagna
Rai 5,08-06-2023,17:41,Liszt e Schumann per Argerich e Pappano
Rai 5,08-06-2023,19:02,Rai News Giorno
Rai 5,08-06-2023,19:07,I promessi Sposi Puntata 4
Rai 5,08-06-2023,20:26,Punto di svolta: Marguerite Yourcenar - E7
Rai 5,08-06-2023,21:15,Concerto per Milano Prima Visione RAI
Rai 5,08-06-2023,22:54,Nile Rodgers Come farcela nel mondo della musica - E2
Rai 5,08-06-2023,23:52,Rock Legends: Diana Ross and The Supremes
