CHANNEL,DATE TIME,HOUR,EVENT
Rai 5,09-06-2023,00:15,Bee Gees - In Our Own Time - E1
Rai 5,09-06-2023,01:15,Rai News Notte
Rai 5,09-06-2023,01:16,I promessi Sposi Puntata 4
Rai 5,09-06-2023,02:35,Punto di svolta: Marguerite Yourcenar - E7
Rai 5,09-06-2023,03:23,Evolution - Il viaggio di Darwin pt. 177
Rai 5,09-06-2023,05:08,Cuccioli selvaggi - E2
Rai 5,09-06-2023,06:00,Gli indifferenti di Alberto Moravia
Rai 5,09-06-2023,06:11,L'attimo fuggente - E9
Rai 5,09-06-2023,06:41,Meraviglie naturali della Danimarca Lìap
Rai 5,09-06-2023,07:34,L'attimo fuggente - E10
Rai 5,09-06-2023,08:04,I promessi Sposi Puntata 4
Rai 5,09-06-2023,09:23,Punto di svolta: Marguerite Yourcenar - E7
Rai 5,09-06-2023,10:00,Carmen - Atto I e II
Rai 5,09-06-2023,10:11,ANICA APPUNTAMENTO AL CINEMA
Rai 5,09-06-2023,12:40,Prossima fermata America S2E10 - Mattoon - Memphis
Rai 5,09-06-2023,13:39,L'attimo fuggente - E10
Rai 5,09-06-2023,14:00,Evolution - Il viaggio di Darwin pt. 178
Rai 5,09-06-2023,15:45,Il pane altrui
Rai 5,09-06-2023,16:56,Concerto Bartoletti Magaloff
Rai 5,09-06-2023,17:35,Rai 5 Classic pt 35
Rai 5,09-06-2023,18:44,Lo sceneggiatore
Rai 5,09-06-2023,18:54,Gli Imperdibili
Rai 5,09-06-2023,18:58,Rai News Giorno
Rai 5,09-06-2023,18:59,I promessi sposi (1989) - E5
Rai 5,09-06-2023,20:46,Sciarada - Il circolo delle parole L'Altro '900. Curzio Malaparte
Rai 5,09-06-2023,21:15,Schubert-Britten
Rai 5,09-06-2023,22:05,Prima della Prima Il trovatore Prima Vis
Rai 5,09-06-2023,22:37,Nile Rodgers Come farcela nel mondo della musica - E3
Rai 5,09-06-2023,23:36,Rock Legends: Marvin Gaye
Rai 5,09-06-2023,23:58,Bee Gees - In Our Own Time - E2
