CHANNEL,DATE TIME,HOUR,EVENT
Rai 5,03-06-2023,00:31,Barry White - Let The Music Play
Rai 5,03-06-2023,01:24,Rai News Notte
Rai 5,03-06-2023,01:25,I promessi sposi - Puntata 8 del 19/02/1967
Rai 5,03-06-2023,02:16,Prossima fermata America S2E9 -  Chicago - Champaign
Rai 5,03-06-2023,03:17,Evolution - Il viaggio di Darwin pt. 191
Rai 5,03-06-2023,05:00,Risvegli - E2
Rai 5,03-06-2023,06:00,L'attimo fuggente - E3
Rai 5,03-06-2023,06:31,Wild France - S1E1
Rai 5,03-06-2023,07:20,L'attimo fuggente - E4
Rai 5,03-06-2023,07:51,Les pêcheurs de perles
Rai 5,03-06-2023,09:57,"Save the Date - Paolo Grassi, un poeta dell'organizzazione"
Rai 5,03-06-2023,10:37,ANICA APPUNTAMENTO AL CINEMA
Rai 5,03-06-2023,10:40,Opera - Don Giovanni 1960
Rai 5,03-06-2023,13:30,Gli Imperdibili
Rai 5,03-06-2023,13:33,Tuttifrutti 2022-2023 Puntata 37
Rai 5,03-06-2023,14:01,Evolution - Il viaggio di Darwin pt. 192
Rai 5,03-06-2023,15:42,Visioni - 1970-1980 parole di un decennio
Rai 5,03-06-2023,16:35,Il seduttore (Teatro)
Rai 5,03-06-2023,18:12,Il caffè - Puntata del 03/06/2023
Rai 5,03-06-2023,19:05,Rai News Giorno
Rai 5,03-06-2023,19:08,Les pêcheurs de perles
Rai 5,03-06-2023,21:14,Stasera a casa Rossi
Rai 5,03-06-2023,23:33,Campania Teatro Festival 2022
