CHANNEL,DATE TIME,HOUR,EVENT
Rai 5,06-06-2023,00:01,Barry White - Let The Music Play
Rai 5,06-06-2023,00:55,Rock Legends: Simple Minds
Rai 5,06-06-2023,01:18,Rai News Notte
Rai 5,06-06-2023,01:21,I promessi sposi (1989) - E1
Rai 5,06-06-2023,02:57,Prossima fermata America S2E10 - Mattoon - Memphis
Rai 5,06-06-2023,03:57,Evolution - Il viaggio di Darwin pt. 175
Rai 5,06-06-2023,05:42,Lo sceneggiatore
Rai 5,06-06-2023,06:00,Meraviglie naturali della Danimarca - S1E1
Rai 5,06-06-2023,06:54,L'attimo fuggente - E7
Rai 5,06-06-2023,07:23,I promessi sposi (1989) - E1
Rai 5,06-06-2023,08:59,Prossima fermata America S2E10 - Mattoon - Memphis
Rai 5,06-06-2023,10:00,Aida (Teatro San Carlo)
Rai 5,06-06-2023,12:31,Prossima fermata America S2E7 - Red Wing - Portage
Rai 5,06-06-2023,13:30,L'attimo fuggente - E7
Rai 5,06-06-2023,14:00,Evolution - Il viaggio di Darwin pt. 176
Rai 5,06-06-2023,15:46,ANICA APPUNTAMENTO AL CINEMA
Rai 5,06-06-2023,15:48,Boris Godunov (Teatro)
Rai 5,06-06-2023,18:09,Concerto Haydn - Violoncello Piovano
Rai 5,06-06-2023,18:38,Rai5 Classic Puntata 25
Rai 5,06-06-2023,19:45,Rai News Giorno
Rai 5,06-06-2023,19:47,I promessi sposi (1989) - E2
Rai 5,06-06-2023,21:16,Borg McEnroe
Rai 5,06-06-2023,23:01,Johnny Clegg - The White Zulu
Rai 5,06-06-2023,23:55,Rock Legends: Lynyrd Skynyrd
