CHANNEL,DATE TIME,HOUR,EVENT
Rai 5,10-06-2023,00:58,Rai News Notte
Rai 5,10-06-2023,00:59,I promessi sposi (1989) - E5
Rai 5,10-06-2023,02:46,Sciarada - Il circolo delle parole L'Alt
Rai 5,10-06-2023,03:43,Evolution - Il viaggio di Darwin pt. 178
Rai 5,10-06-2023,05:29,Cuccioli selvaggi - E3
Rai 5,10-06-2023,06:00,L'attimo fuggente - E10
Rai 5,10-06-2023,06:30,Meraviglie naturali della Danimarca Il l
Rai 5,10-06-2023,07:22,Personaggi in cerca d'attore - S3E1
Rai 5,10-06-2023,07:48,Bernstein Wonderful Town
Rai 5,10-06-2023,09:22,ANICA APPUNTAMENTO AL CINEMA
Rai 5,10-06-2023,09:24,"Opera - Fedora (Lanfranchi, 1956)"
Rai 5,10-06-2023,11:10,Opera - Un ballo in maschera
Rai 5,10-06-2023,13:18,Gli Imperdibili
Rai 5,10-06-2023,13:21,Tuttifrutti 2022-2023 Puntata 38
Rai 5,10-06-2023,14:00,Evolution - Il viaggio di Darwin pt. 179
Rai 5,10-06-2023,15:45,Save the Date - L'eredità di Leonardo da Vinci
Rai 5,10-06-2023,16:35,Stardust Memories - Albertina
Rai 5,10-06-2023,18:10,Il Caffè 2022-2023 Puntata 39
Rai 5,10-06-2023,19:02,Rai News Giorno
Rai 5,10-06-2023,19:03,Bernstein Wonderful Town
Rai 5,10-06-2023,20:37,L'attimo fuggente - E8
Rai 5,10-06-2023,21:15,L'amore è un gambero
Rai 5,10-06-2023,23:00,Opera - La Fantarca
