CHANNEL,DATE TIME,HOUR,EVENT
Rai 5,04-06-2023,00:33,Rai News Notte
Rai 5,04-06-2023,00:37,Il console (Teatro Nuovo di Spoleto)
Rai 5,04-06-2023,02:56,Art Night Puntata 25 - Albrecht Durer
Rai 5,04-06-2023,03:58,Evolution - Il viaggio di Darwin pt. 192
Rai 5,04-06-2023,05:39,Save the Date - I traditori
Rai 5,04-06-2023,06:08,L'Iguana di Anna Maria Ortese
Rai 5,04-06-2023,06:21,L'attimo fuggente - E4
Rai 5,04-06-2023,06:52,Wild France - S1E2
Rai 5,04-06-2023,07:39,L'attimo fuggente - E5
Rai 5,04-06-2023,08:10,Art Night Puntata 25 - Albrecht Durer
Rai 5,04-06-2023,09:08,Save the Date - L'eredità di Leonardo da Vinci
Rai 5,04-06-2023,09:59,ANICA APPUNTAMENTO AL CINEMA
Rai 5,04-06-2023,10:01,"Opera - Fedora (Lanfranchi, 1956)"
Rai 5,04-06-2023,11:49,"Un ballo in maschera (Franco Enriquez, 1956)"
Rai 5,04-06-2023,13:59,Evolution - Il viaggio di Darwin pt. 174
Rai 5,04-06-2023,15:43,Save The Date - Speciale La Fenice per Venezia
Rai 5,04-06-2023,16:07,Stasera a casa Rossi
Rai 5,04-06-2023,18:26,"Opera - Il trovatore (Teatro alla Scala, 2000)"
Rai 5,04-06-2023,20:41,Rai News Giorno
Rai 5,04-06-2023,20:43,L'attimo fuggente - E2
Rai 5,04-06-2023,21:14,Di là dal fiume e tra gli alberi - S5E15
Rai 5,04-06-2023,23:05,Il professore cambia scuola
