CHANNEL,DATE TIME,HOUR,EVENT
Rai 1,10-06-2023,00:00,TV7
Rai 1,10-06-2023,01:10,Viva Rai 2! ...e un po' anche Rai 1
Rai 1,10-06-2023,02:05,Che tempo fa
Rai 1,10-06-2023,02:10,Cinematografo
Rai 1,10-06-2023,03:10,Sottovoce
Rai 1,10-06-2023,03:40,RaiNews24
Rai 1,10-06-2023,06:00,Gli imperdibili
Rai 1,10-06-2023,06:05,Il caffè
Rai 1,10-06-2023,07:00,TG 1
Rai 1,10-06-2023,07:05,Rai Parlamento Settegiorni
Rai 1,10-06-2023,07:55,Che tempo fa
Rai 1,10-06-2023,08:00,TG1
Rai 1,10-06-2023,08:20,Tg1 Dialogo
Rai 1,10-06-2023,08:30,UnoMattina in famiglia
Rai 1,10-06-2023,09:00,TG1
Rai 1,10-06-2023,09:04,UnoMattina in famiglia
Rai 1,10-06-2023,09:30,TG1 L.I.S.
Rai 1,10-06-2023,09:33,UnoMattina in famiglia
Rai 1,10-06-2023,10:30,Buongiorno Benessere - Puntata del 10/06/2023
Rai 1,10-06-2023,11:25,Il Provinciale - Chiara d'Assisi e il privilegio della povertà
Rai 1,10-06-2023,12:00,Linea Verde Explora
Rai 1,10-06-2023,12:30,Linea Verde Life - Imperia
Rai 1,10-06-2023,13:30,TELEGIORNALE
Rai 1,10-06-2023,14:00,Linea Blu - Arcipelago Toscano
Rai 1,10-06-2023,15:00,Passaggio a Nord-Ovest
Rai 1,10-06-2023,16:00,A Sua immagine
Rai 1,10-06-2023,16:40,Gli imperdibili
Rai 1,10-06-2023,16:45,TG1
Rai 1,10-06-2023,16:55,Che tempo fa
Rai 1,10-06-2023,17:00,Meeting Internazionale della Fraternità
Rai 1,10-06-2023,18:45,L'Eredità Weekend - Puntata del 10/06/2023
Rai 1,10-06-2023,20:00,TELEGIORNALE
Rai 1,10-06-2023,20:35,Techetechetè
Rai 1,10-06-2023,21:30,Sei mai stata sulla luna?
Rai 1,10-06-2023,23:35,TG1 Sera
Rai 1,10-06-2023,23:40,Big Wedding
