CHANNEL,DATE TIME,HOUR,EVENT
Rai 1,04-06-2023,00:10,TG1 Sera
Rai 1,04-06-2023,00:15,Vittime collaterali - Gioco d'azzardo patologico - 03/06/2023
Rai 1,04-06-2023,01:15,Che tempo fa
Rai 1,04-06-2023,01:20,Sottovoce
Rai 1,04-06-2023,01:50,Mille e un libro
Rai 1,04-06-2023,02:50,RaiNews24
Rai 1,04-06-2023,05:50,A Sua immagine - Puntata del 03/06/2023
Rai 1,04-06-2023,06:30,UnoMattina in famiglia
Rai 1,04-06-2023,07:00,TG 1
Rai 1,04-06-2023,07:05,UnoMattina in famiglia
Rai 1,04-06-2023,08:00,TG 1
Rai 1,04-06-2023,08:18,UnoMattina in famiglia
Rai 1,04-06-2023,09:00,TG 1
Rai 1,04-06-2023,09:04,UnoMattina in famiglia
Rai 1,04-06-2023,09:35,TG 1 L.I.S.
Rai 1,04-06-2023,09:40,Speciale A Sua immagine La forza della vita - Il Santo Padre a casa di A sua Immagine
Rai 1,04-06-2023,10:55,A Sua immagine - Puntata del 04/06/2023
Rai 1,04-06-2023,10:56,Santa Messa dalla Chiesa San Pietro Apostolo in Minturno
Rai 1,04-06-2023,11:50,A Sua immagine - Puntata del 04/06/2023
Rai 1,04-06-2023,12:00,Recita dell'Angelus da Piazza San Pietro del 04/06/2023
Rai 1,04-06-2023,12:10,A Sua immagine - Puntata del 04/06/2023
Rai 1,04-06-2023,12:20,Linea Verde - Da Sperlonga al Circeo: la riviera di Ulisse - 04/06/2023
Rai 1,04-06-2023,13:30,TELEGIORNALE
Rai 1,04-06-2023,14:00,Domenica In
Rai 1,04-06-2023,17:15,TG 1
Rai 1,04-06-2023,17:18,Che tempo fa
Rai 1,04-06-2023,17:20,Da noi...a ruota libera -Puntata del 04/06/2023
Rai 1,04-06-2023,18:45,L'Eredità Weekend - Puntata del 04/06/2023
Rai 1,04-06-2023,20:00,TELEGIORNALE
Rai 1,04-06-2023,20:35,Affari tuoi - Puntata del 04/06/2023
Rai 1,04-06-2023,21:25,Blanca - S1E1 - Senza occhi
Rai 1,04-06-2023,23:35,TG1 Sera
Rai 1,04-06-2023,23:40,Speciale Tg1
