CHANNEL,DATE TIME,HOUR,EVENT
Rai 1,03-06-2023,00:00,TV7
Rai 1,03-06-2023,01:10,Viva Rai 2! ...e un po' anche Rai 1
Rai 1,03-06-2023,02:05,Aracataca. Non voglio cambiare pianeta 2 – Ep20 - Il diavolo
Rai 1,03-06-2023,02:25,Che tempo fa
Rai 1,03-06-2023,02:30,Cinematografo
Rai 1,03-06-2023,03:30,Sottovoce
Rai 1,03-06-2023,04:00,RaiNews24
Rai 1,03-06-2023,06:00,Gli Imperdibili
Rai 1,03-06-2023,06:05,Il caffè
Rai 1,03-06-2023,07:00,TG 1
Rai 1,03-06-2023,07:05,Rai Parlamento Settegiorni
Rai 1,03-06-2023,07:55,Che tempo fa
Rai 1,03-06-2023,08:00,TG1
Rai 1,03-06-2023,08:20,Tg1 Dialogo
Rai 1,03-06-2023,08:30,UnoMattina in famiglia
Rai 1,03-06-2023,09:00,TG1
Rai 1,03-06-2023,09:04,UnoMattina in famiglia
Rai 1,03-06-2023,09:30,TG1 L.I.S.
Rai 1,03-06-2023,09:33,UnoMattina in famiglia
Rai 1,03-06-2023,10:30,Buongiorno Benessere - Puntata del 03/06/2023
Rai 1,03-06-2023,11:25,"Linea Verde Explora - Avellino, Abbazia di Montevergine - 03/06/2023"
Rai 1,03-06-2023,12:00,Linea Verde Discovery - L'oro bianco di montagna - 03/06/2023
Rai 1,03-06-2023,12:30,Linea Verde Life - Arezzo - 03/06/2023
Rai 1,03-06-2023,13:30,TELEGIORNALE
Rai 1,03-06-2023,14:00,Linea Blu - Costiera Sorrentina - 03/06/2023
Rai 1,03-06-2023,15:00,Passaggio a Nord-Ovest
Rai 1,03-06-2023,16:00,A Sua immagine - Puntata del 03/06/2023
Rai 1,03-06-2023,16:40,Gli Imperdibili
Rai 1,03-06-2023,16:45,TG1
Rai 1,03-06-2023,16:55,Che tempo fa
Rai 1,03-06-2023,17:00,ItaliaSì!
Rai 1,03-06-2023,18:45,L'Eredità Weekend - Puntata del 03/06/2023
Rai 1,03-06-2023,20:00,TELEGIORNALE
Rai 1,03-06-2023,20:35,Affari tuoi - Puntata del 03/06/2023
Rai 1,03-06-2023,21:25,I migliori dei migliori anni - Puntata del 03/06/2023
