CHANNEL,DATE TIME,HOUR,EVENT
Rai 1,06-06-2023,00:00,Viva Rai 2! ...e un po' anche Rai 1
Rai 1,06-06-2023,00:55,Aracataca. Non voglio cambiare pianeta 2 – Ep21 - Il matto
Rai 1,06-06-2023,01:15,RaiNews24
Rai 1,06-06-2023,01:50,Sottovoce
Rai 1,06-06-2023,02:20,Overland 19 Le Indie di Overland - Kashmir terra di confine e conflitto
Rai 1,06-06-2023,03:10,RaiNews24
Rai 1,06-06-2023,06:28,Previsioni sulla viabilità CCISS Viaggiare informati
Rai 1,06-06-2023,06:30,TG1
Rai 1,06-06-2023,06:35,Rassegna stampa
Rai 1,06-06-2023,06:58,Tgunomattina
Rai 1,06-06-2023,07:00,TG1
Rai 1,06-06-2023,07:28,Che tempo fa
Rai 1,06-06-2023,07:30,Tgunomattina
Rai 1,06-06-2023,08:00,TG1
Rai 1,06-06-2023,08:30,Che tempo fa
Rai 1,06-06-2023,08:32,Tgunomattina
Rai 1,06-06-2023,08:55,Rai Parlamento Telegiornale
Rai 1,06-06-2023,09:00,TG 1 L.I.S.
Rai 1,06-06-2023,09:05,UnoMattina
Rai 1,06-06-2023,09:50,Storie italiane
Rai 1,06-06-2023,12:00,E' sempre mezzogiorno
Rai 1,06-06-2023,13:30,TELEGIORNALE
Rai 1,06-06-2023,14:05,Oggi è un altro giorno - Puntata del 06/06/2023
Rai 1,06-06-2023,16:05,Sei Sorelle - S1E85 - Episodio 85
Rai 1,06-06-2023,16:55,TG 1
Rai 1,06-06-2023,17:02,Che tempo fa
Rai 1,06-06-2023,17:05,La Vita in Diretta
Rai 1,06-06-2023,18:45,L'Eredità - Puntata del 06/06/2023
Rai 1,06-06-2023,20:00,TELEGIORNALE
Rai 1,06-06-2023,20:30,Cinque Minuti - Puntata del 06/06/2023
Rai 1,06-06-2023,20:35,Affari tuoi - Puntata del 06/06/2023
Rai 1,06-06-2023,21:30,Un marito sospetto
Rai 1,06-06-2023,23:20,Porta a Porta
Rai 1,06-06-2023,23:35,TG1 Sera
Rai 1,06-06-2023,23:39,Porta a Porta
