CHANNEL,DATE TIME,HOUR,EVENT
Rai Premium,03-06-2023,00:50,De Gasperi - L'uomo della speranza E2
Rai Premium,03-06-2023,02:30,La Squadra - S3E7
Rai Premium,03-06-2023,04:15,Shakespeare & Hathaway S3E10 - Separarsi è un sì dolce dolore
Rai Premium,03-06-2023,05:00,Zoom! - La satira in TV: Quelli che scherzano
Rai Premium,03-06-2023,05:25,L'Ispettore Sarti - S1E1 - L'inquilino americano
Rai Premium,03-06-2023,06:25,Scusate il disturbo - 1^ Parte
Rai Premium,03-06-2023,08:05,Scusate il disturbo - 2^ Parte
Rai Premium,03-06-2023,09:55,Una pallottola nel cuore S3E4 - La notte degli errori
Rai Premium,03-06-2023,11:45,Una pallottola nel cuore S3E5 - Bestie feroci
Rai Premium,03-06-2023,13:30,Una pallottola nel cuore S3E6 - Il giustiziere
Rai Premium,03-06-2023,15:25,Gli Imperdibili
Rai Premium,03-06-2023,15:30,Anica Appuntamento al Cinema
Rai Premium,03-06-2023,15:35,Mai storie d'amore in cucina S1E1
Rai Premium,03-06-2023,17:15,Mai storie d'amore in cucina S1E2
Rai Premium,03-06-2023,18:55,La ragazza americana
Rai Premium,03-06-2023,21:20,La porta rossa S3E1
Rai Premium,03-06-2023,22:15,La porta rossa S3E2
Rai Premium,03-06-2023,23:10,Vivere non è un gioco da ragazzi - S1E5
