CHANNEL,DATE TIME,HOUR,EVENT
Rai Premium,08-06-2023,01:15,La Squadra - S3E10
Rai Premium,08-06-2023,03:00,Zoom! - Il cibo in TV
Rai Premium,08-06-2023,03:35,Sea Patrol S1E5 - Controllo radar
Rai Premium,08-06-2023,04:15,Sea Patrol S1E6 - Un prezioso carico
Rai Premium,08-06-2023,05:00,Piloti
Rai Premium,08-06-2023,05:15,Cuori rubati S1E20
Rai Premium,08-06-2023,05:45,Una donna per amico - S2E2 - Verso il sole
Rai Premium,08-06-2023,07:20,Tutti pazzi per amore-S3E9
Rai Premium,08-06-2023,08:15,Tutti pazzi per amore-S3E10
Rai Premium,08-06-2023,09:10,Un posto al sole - Puntata del 24/05/2022 EP5952
Rai Premium,08-06-2023,09:35,Sea Patrol S1E7 - Salvatemi
Rai Premium,08-06-2023,10:25,Sea Patrol S1E8 - La tempesta
Rai Premium,08-06-2023,11:10,Che Dio ci aiuti S6E3 - Amore o dipendenza?
Rai Premium,08-06-2023,12:10,Che Dio ci aiuti S6E4 - Fuori posto
Rai Premium,08-06-2023,13:10,Velvet S1E4 - Niente è come sembra
Rai Premium,08-06-2023,14:30,Heartland S1E4 - La lettera
Rai Premium,08-06-2023,15:20,Anica Appuntamento al Cinema
Rai Premium,08-06-2023,15:25,Una grande famiglia S1E4
Rai Premium,08-06-2023,17:25,Che Dio ci aiuti S6E5 - Obbligo o verità
Rai Premium,08-06-2023,18:20,Che Dio ci aiuti S6E6 - Déjà vu
Rai Premium,08-06-2023,19:15,Màkari - S2E2 - Il lato fragile
Rai Premium,08-06-2023,21:20,Lea - Un nuovo giorno - S1E1 - Ricominciare
Rai Premium,08-06-2023,22:20,Lea - Un nuovo giorno - S1E2 - La seconda possibilità
Rai Premium,08-06-2023,23:15,Italiani fantastici e dove trovarli - Puntata del 28/06/2022
