CHANNEL,DATE TIME,HOUR,EVENT
Rai Premium,10-06-2023,00:15,La porta rossa S3E2
Rai Premium,10-06-2023,01:10,La Squadra - S3E12
Rai Premium,10-06-2023,02:50,Heartland S1E5 - Il video di Lou
Rai Premium,10-06-2023,03:35,Sea Patrol S1E9 - Sotto pressione
Rai Premium,10-06-2023,04:15,Sea Patrol S1E10 - Stato di allerta
Rai Premium,10-06-2023,05:00,Disokkupati
Rai Premium,10-06-2023,05:25,Gli anni spezzati - Il Commissario - 1^ Parte
Rai Premium,10-06-2023,07:00,Gli anni spezzati - Il Commissario - 2^ Parte
Rai Premium,10-06-2023,08:50,Màkari - S1E3 - È solo un gioco
Rai Premium,10-06-2023,10:45,Màkari - S1E4 - La fabbrica delle stelle
Rai Premium,10-06-2023,12:40,Màkari - S2E1 - Il delitto di Kolimbetra
Rai Premium,10-06-2023,14:40,That's Italy - Puntata del 21/01/2023 - Torino
Rai Premium,10-06-2023,15:10,Gli Imperdibili
Rai Premium,10-06-2023,15:15,Anica Appuntamento al Cinema
Rai Premium,10-06-2023,15:20,Una famiglia per caso
Rai Premium,10-06-2023,17:10,Che Dio ci aiuti S5E19 - Addio! 
Rai Premium,10-06-2023,18:10,Che Dio ci aiuti S5E20 - La strada di casa
Rai Premium,10-06-2023,19:10,"Che Dio ci aiuti S6E1 - E tu, sei pronto?"
Rai Premium,10-06-2023,20:15,Che Dio ci aiuti S6E2 - Posto di blocco
Rai Premium,10-06-2023,21:20,La Porta Rossa S3E3
Rai Premium,10-06-2023,22:25,La porta rossa S3E4
Rai Premium,10-06-2023,23:25,Blackout - Vite sospese - S1E1 - Il gioco del destino
